call_id,customer_id,agent_id,primary_call_reason,customer_name,elite_level_code
131642,103262588,132311,Seating,Michael Petersen,0
325527,8994245383,607742,IRROPS,Andrew Hess,
526871,5769982111,748700,Voluntary Change,Joseph Thomas,3
634548,9534089270,542034,Seating,Victoria Green,0
693921,3046806067,633922,Voluntary Change,Vickie Lopez,1
723257,8760640596,717526,Mileage Plus,Ryan Mccoy,2
729176,1310505652,675727,IRROPS,Scott Lawson,3
768800,2333085875,422417,Communications,Keith Roberts,
811664,3800366680,176703,Voluntary Cancel,James Morales,
1156029,4598395794,590950,ETC,Cynthia Salas,0
1228137,7388532911,153460,Upgrade,Cynthia Smith,1
1268396,3001335405,204674,Check-In,Heather Farrell MD,1
1335371,3898413541,594957,Voluntary Cancel,Richard Collins,
1590398,4299723422,910145,IRROPS,Bailey Hawkins,1
1680609,7567928745,214289,Mileage Plus,Natasha Smith,2
1770187,6000487174,819946,IRROPS,Michael Kim,0
1790975,7690125809,414690,Communications,Sherry Sellers,
1829764,6665161812,266966,IRROPS  ,Dawn Cooper,
1993764,311999673,758927,Mileage Plus,Michael Henson,0
2014267,7718259275,181820,IRROPS,Megan White,0
2168762,2862389631,597058,Seating,Jesse Krueger,1
2187648,2901234781,663804,IRROPS,Lori Matthews,0
2364938,6965814253,181820,Mileage Plus,Christopher Hughes,1
2591179,636525306,198686,IRROPS,Christine Miller,
2657936,7940765887,595713,Schedule Change  ,Grace Bauer,
2920823,7127316975,959023,IRROPS,Jamie Robles,
3029333,8174117779,519294,Voluntary Change,Jacob Morgan,
3159779,959712763,479414,Products & Services,John Cisneros,0
3231608,6830042347,274746,Voluntary Cancel,Sarah Moore,
3259268,7406870954,637585,ETC,Mr. Gerald Kelley MD,0
3388844,9790498523,965878,Check-In,Mercedes Rangel,0
3496878,4397345339,975590,Products & Services,Nicole Bush,
3763000,9463111551,338544,Communications,Matthew Clarke,1
3814089,3482493080,571712,Upgrade,Robert Miller,0
3840488,647976465,232477,Booking,Gerald Brown,
3928188,8702022766,432687,Mileage Plus,Amy Cross,2
3949825,8302019078,942082,Communications,Margaret Webb,
4057584,4029332280,672758,Voluntary Change,James Owens,
4185420,4168393350,607742,Schedule Change,Amanda Morales,1
4249048,713953137,510903,Voluntary Change,Kenneth Knapp,1
4418118,6345501475,499403,Other Topics,Brittany Rivera,0
4587814,710970112,715813,IRROPS,Lisa Montgomery,0
4810154,4369570795,604639,Post Flight,Amanda Grimes,
5103924,8877859911,605855,Seating,Wanda Pearson,0
5190894,5586399216,600666,IRROPS,Whitney Brown,1
5473759,1829077186,544771,Voluntary Change,Courtney Mayo,0
5633990,7382119116,968346,Voluntary Cancel,Aaron Shah,
5765632,5812575721,825827,IRROPS,Robert Benson,
5830452,4815603261,530215,ETC,Carmen Kelly,0
6004660,565991323,132311,IRROPS,Denise Woods,
6121139,9047736628,319947,Booking,Rickey Sherman,1
6527645,5497745324,882260,Mileage Plus,Suzanne Cummings,1
6660437,6115149979,686999,Digital Support,Angela Liu,1
6711139,4411215988,852069,Communications,John Hayden,2
6738115,1030681565,261911,ETC,Robert Woodard,4
6930968,5916999708,600666,Post Flight,Dr. Joel Kidd,4
6954758,2168225492,347606,Seating,Breanna Powers,
7020269,8032620966,519294,Voluntary Change,Jennifer Williams,
7129216,2764766328,798578,Check-In,Rebecca Hawkins,2
7262804,2262120309,126555,Baggage,Joann Alvarez,1
7395413,7860667354,266799,Mileage Plus,Aaron Miller,2
7494849,7940601600,642658,Disability,Michael Alexander,
8245538,9254607658,882260,ETC,Michael Harrison,2
8304036,2124382893,803198,Booking,Brenda Smith,0
8639587,3418057401,717526,IRROPS,Renee Williams,2
8994316,9169868322,963118,IRROPS,William Pruitt,1
9075172,4737545180,655682,Mileage Plus,Natalie Hood,0
9256125,4573491558,349957,IRROPS,Katherine Contreras,
9294892,9492143714,668169,Voluntary Change,Andrew Brown,0
9424361,6464466466,342345,Seating,Katherine Black,1
9829406,2171014607,575830,IRROPS,Miranda Davis,0
9916647,6021346934,519294,Mileage Plus,Ashley Haley,0
9920607,1839208803,590950,Mileage Plus,Steven Kirk,4
10062541,5115510002,414690,Post Flight,Linda Chambers,
10122779,2208140178,719115,Mileage Plus,Jeffrey Hutchinson,1
10182600,7191367163,359050,IRROPS,Debra Frey,0
10265967,7424321276,250675,IRROPS,Valerie Gibson,2
10548870,384632167,963118,IRROPS,Luis French,
10674533,1584750872,338544,IRROPS,Gregory Bender,
10678611,658835257,263480,Upgrade,Karen Phillips,
10699686,7320763660,414690,Voluntary Change,Julie Garcia,
11003988,6441684292,131036,IRROPS,Danielle Reynolds,
11098046,1691631779,214289,Other Topics,Martin Long,
11108579,6643587429,305039,IRROPS,Elizabeth Martinez,0
11151468,6082561223,499403,Seating,Julia Hill,2
11335386,5433766651,591324,IRROPS,Kendra Porter,0
11350831,7954426477,796927,Post Flight,Monique Sanders,
11491448,4688514174,931734,IRROPS,Shannon Cordova,3
11886818,5024581742,683244,Mileage Plus,Michael White,3
11963835,7430779802,955854,Seating,Joanna Andrews,0
11995940,3450559257,696555,Booking,Tracie Johnson,1
12369206,5630343618,816533,IRROPS,Amber Smith,0
12398007,8144637528,357288,Seating,Lindsay Mayer,4
12591135,6692560659,390819,Voluntary Cancel,Brenda Ruiz,1
12824117,5911254569,955854,IRROPS,Gerald Williams,1
13061687,2697233540,537208,Communications,Sherry Johnson,2
13287319,4797318853,293576,Communications,Heather Sanchez,0
13487855,6083446820,668169,Mileage Plus,Alexandria Hancock,5
13660800,4747028459,642658,Products & Services,Charles Quinn,1
13663647,1161539424,342345,Voluntary Change,Jennifer Craig,
13755837,229375660,290097,Schedule Change,Eileen Kaufman,
13838330,3244232743,852069,Voluntary change,Lauren Gonzalez,1
13943579,8288340806,788537,IRROPS,Sean Wolfe,0
14011118,6738374707,208992,Voluntary Change,Samantha Potts,5
14063350,9641087251,391052,IRROPS,Andrew Bentley,2
14764275,1061413710,369972,Mileage Plus,Frank Lara,1
15283741,1626386707,897227,Baggage,Duane Ramos,
15461150,3019893962,594957,Check-In  ,Patricia Mueller,5
15687861,552140749,597058,Post Flight,Patricia Garcia,1
15825238,2596544692,926550,IRROPS,Jacob Pacheco,1
16083718,2284059993,103651,Upgrade  ,Tyrone Newman,2
16352073,1646707750,600666,Voluntary Change,Justin Brown,
16429968,9290193798,901722,IRROPS,John Anderson,
16481447,804205209,251287,IRROPS,Julie Parker,1
16922982,3625762605,215457,Post Flight,Robert Hunt MD,
16929536,8398165804,153460,Voluntary Change,Stacey Mclaughlin,
17085998,7678801424,275034,Voluntary Change,Amanda Benitez,1
17149856,8561786322,232477,Other Topics,Larry Taylor,0
17240219,8885347966,743011,Baggage,Diane Marks,
17282915,3598661821,828869,Upgrade,Max Martinez,
17506305,8094685892,167843,IRROPS,Kelly Nelson,3
17741078,9969203017,537146,Seating,Louis Gilbert,1
17813669,1327472833,290097,Seating,Jennifer Cruz,1
18163766,6149902528,828869,IRROPS,Rachel Ward,1
18188378,3805812010,901722,IRROPS,April Hampton,
18202966,8574157766,144120,Voluntary Change,Philip Campbell,
18415350,3611099046,113217,Upgrade,Shannon Bradley,1
18420742,7014645677,981776,Upgrade,Patricia Williams,0
19002968,9079946984,825827,Baggage,Elizabeth Jones,1
19161703,5986660412,233571,Baggage,Kaitlyn Barnes,
19304450,1005467927,103651,IRROPS,Shelley Hooper,
19522648,7973532380,369972,Voluntary Change,Benjamin Nielsen,
19604113,5064673528,302873,Baggage,Lindsay Kennedy,1
19681283,8080721836,171689,Other Topics,Rachel Jimenez,1
